x,y,z,
1.13271,0.835186,0.000983059,
1.13104,0.829176,0.000979888,
1.12938,0.823167,0.000976718,
1.12772,0.817157,0.000973548,
1.12606,0.811148,0.000970383,
1.12439,0.805138,0.000967217,
1.12273,0.799129,0.000964048,
1.12107,0.793119,0.00096088,
1.11941,0.787109,0.000957711,
1.11774,0.7811,0.000954543,
1.11608,0.77509,0.000951374,
1.11442,0.769081,0.000948206,
1.11276,0.763071,0.000945038,
1.1111,0.757061,0.000941869,
1.10943,0.751052,0.000938701,
1.10777,0.745042,0.000935532,
1.10611,0.739033,0.000932364,
1.10445,0.733023,0.000929195,
1.10278,0.727014,0.000926025,
1.10112,0.721004,0.000922856,
1.09946,0.714994,0.000919876,
1.0978,0.708985,0.000917115,
1.09613,0.702975,0.000914355,
1.09447,0.696966,0.000911595,
1.09281,0.690956,0.000908834,
1.09115,0.684947,0.000906074,
1.08948,0.678937,0.000903313,
1.08782,0.672927,0.000900553,
1.08616,0.666918,0.000897792,
1.0845,0.660908,0.000895032,
1.08283,0.654899,0.000892271,
1.08117,0.648889,0.000889511,
1.07951,0.64288,0.00088675,
1.07785,0.63687,0.000883995,
1.07618,0.63086,0.000881241,
1.07452,0.624851,0.000878487,
1.07286,0.618841,0.000875732,
1.0712,0.612832,0.000872976,
1.06954,0.606822,0.000870217,
1.06787,0.600813,0.000867459,
1.06621,0.594803,0.000864701,
1.06455,0.588793,0.000861942,
1.06289,0.582784,0.000859184,
1.06122,0.576774,0.000856426,
1.05956,0.570765,0.000853668,
1.0579,0.564755,0.000850909,
1.05624,0.558746,0.000848151,
1.05457,0.552736,0.000845393,
1.05291,0.546726,0.000842635,
1.05125,0.540717,0.000839876,
1.04959,0.534707,0.000837118,
1.04792,0.528698,0.00083436,
1.04626,0.522688,0.000831601,
1.0446,0.516679,0.000828843,
1.04294,0.510669,0.000826085,
1.04127,0.504659,0.000823251,
1.03961,0.49865,0.000820179,
1.03795,0.49264,0.000817107,
1.03629,0.486631,0.000814035,
1.03462,0.480621,0.000810963,
1.03296,0.474612,0.00080789,
1.0313,0.468602,0.000804818,
1.02964,0.462592,0.000801746,
1.02797,0.456583,0.000798674,
1.02631,0.450573,0.000795602,
1.02465,0.444564,0.00079253,
1.02299,0.438554,0.000789458,
1.02133,0.432545,0.000786385,
1.01966,0.426535,0.000783312,
1.018,0.420525,0.000780238,
1.01634,0.414516,0.000777164,
1.01468,0.408506,0.000774091,
1.01301,0.402497,0.000771017,
1.01135,0.396487,0.000767943,
1.00969,0.390478,0.00076487,
1.00803,0.384468,0.000761749,
1.00636,0.378458,0.000758582,
1.0047,0.372449,0.000755416,
1.00304,0.366439,0.000752249,
1.00138,0.36043,0.000749082,
0.999714,0.35442,0.000745915,
0.998051,0.348411,0.000742749,
0.996389,0.342401,0.000739582,
0.994727,0.336391,0.000736415,
0.993064,0.330382,0.000733248,
0.991402,0.324372,0.000730082,
0.989739,0.318363,0.000726915,
0.988077,0.312353,0.000723748,
0.986414,0.306343,0.000720582,
0.984752,0.300334,0.000717415,
0.98309,0.294324,0.000714248,
0.981427,0.288315,0.000711082,
0.979765,0.282305,0.000707915,
0.978102,0.276296,0.000704748,
0.97644,0.270286,0.000701582,
0.974778,0.264276,0.000698415,
0.973115,0.258267,0.000695474,
0.971453,0.252257,0.000692642,
0.96979,0.246248,0.00068981,
0.968128,0.240238,0.000686978,
0.966466,0.234229,0.000684146,
0.964803,0.228219,0.000681313,
0.963141,0.222209,0.000678481,
0.961478,0.2162,0.000675649,
0.959816,0.21019,0.000672817,
0.958153,0.204181,0.000669985,
0.956491,0.198171,0.000667153,
0.954829,0.192162,0.000664322,
0.953166,0.186152,0.00066149,
0.951504,0.180142,0.000658659,
0.949841,0.174133,0.000655828,
0.948179,0.168123,0.000652996,
0.946517,0.162114,0.000650165,
0.944854,0.156104,0.000647333,
0.943192,0.150095,0.000644502,
0.941529,0.144085,0.00064167,
0.939867,0.138075,0.000638839,
0.938205,0.132066,0.000636012,
0.936542,0.126056,0.000633253,
0.93488,0.120047,0.000630494,
